timestamp,dx,dy
1744381340.6930575,2,0
1744381340.7010505,-3,-1
1744381340.7090623,6,1
1744381340.716965,-6,-1
1744381340.7255862,5,0
1744381340.7330008,-6,-4
1744381340.7410648,4,4
1744381340.7490532,-4,-3
1744381340.7572813,5,6
1744381340.7650898,-2,-2
1744381340.773151,5,2
1744381340.7810152,-1,0
1744381340.7970254,1,0
1744381340.807218,0,0
1744381340.8129478,-1,0
1744381340.823107,1,0
1744381340.8309863,-1,0
1744381340.8391938,0,0
1744381340.8474085,0,0
1744381340.855052,-1,0
1744381340.863112,0,0
1744381340.871142,-1,0
1744381340.8790956,-1,3
1744381340.8871357,-1,5
1744381340.8949995,6,-2
1744381340.903174,0,4
1744381340.9110942,0,-9
1744381340.919092,0,1
1744381341.3693292,0,0
1744381341.379069,5,1
1744381341.3849294,5,2
1744381341.3951037,-2,-2
1744381341.4009953,8,2
1744381341.4110825,-6,-3
1744381341.4190276,19,2
1744381341.4271548,-15,-3
1744381341.4349563,21,2
1744381341.443041,-22,-3
1744381341.4509833,20,0
1744381341.4591715,-25,0
1744381341.4669487,11,0
1744381341.475064,-11,0
1744381341.4829588,3,0
1744381341.4912179,-10,0
1744381341.797067,0,0
1744381341.8051798,-1,0
1744381341.813585,1,0
1744381341.8210294,1,0
1744381341.8291163,-2,0
1744381341.8370261,1,0
1744381341.845007,-1,1
1744381341.8530047,1,0
1744381341.8610177,1,0
1744381341.8690827,2,1
1744381341.8770077,-1,-1
1744381341.8850145,3,2
1744381341.8931158,-1,-2
1744381341.9010668,3,1
1744381341.9091547,-6,-2
1744381341.9170094,3,1
1744381341.9253156,-4,0
1744381341.9330232,2,0
1744381341.9410696,-3,-1
1744381341.949273,1,0
1744381341.957243,0,1
1744381341.9670138,2,1
1744381341.9732413,1,-2
1744381341.9830124,5,2
1744381341.989218,-6,-2
1744381341.9991302,6,1
1744381342.0054364,9,1
1744381342.0149744,8,0
1744381342.0230658,-20,-2
1744381342.0309834,5,0
1744381342,-4,0
1744381342.0470476,4,0
1744381342.0555193,5,0
1744381342.0629976,7,0
1744381342.0709476,9,0
1744381342.0790918,-25,0
1744381342.0872803,4,0
1744381342.094974,-7,0
1744381342.1029782,6,1
1744381342.1110127,-7,-1
1744381342.119228,2,0
1744381342.127077,-3,0
1744381342.135101,2,0
1744381342.143077,-3,0
1744381342.1510096,1,0
1744381342.1590505,-2,0
1744381342.1830726,1,0
1744381342.1990342,-1,0
1744381342.207271,1,0
1744381342.2150059,1,0
1744381342.223233,-1,0
1744381342.2392128,-1,0
1744381342,1,0
1744381342.2552545,0,0
1744381342.2711074,1,0
1744381342.3031592,-2,0
1744381342.497178,0,0
1744381342.505153,-1,-1
1744381342.5130427,-4,0
1744381342.5209334,-4,0
1744381342.5292492,5,1
1744381342.5371156,-6,0
1744381343,3,2
1744381342.5531876,-10,3
